run_id,repo_slug,agent,variant,variant_label,step,status,reason,proxy_access_line_count,proxy_denied_count,blocked_egress_line_count,denied_or_blocked,main_event_type
20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,ulisesbocchio_jasypt-spring-boot,codex,generated,Best-effort,andvari,passed,,216,0,0,False,none
20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,ulisesbocchio_jasypt-spring-boot,codex,v2,Slightly degraded,andvari-v2,passed,,222,0,0,False,none
20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,ulisesbocchio_jasypt-spring-boot,codex,v3,Moderately degraded,andvari-v3,passed,,210,0,0,False,none
20260505T150455Z__mbechler_marshalsec__243c5aa8,mbechler_marshalsec,codex,generated,Best-effort,andvari,passed,,156,0,0,False,none
20260505T150455Z__mbechler_marshalsec__243c5aa8,mbechler_marshalsec,codex,v2,Slightly degraded,andvari-v2,passed,,156,0,0,False,none
20260505T150455Z__mbechler_marshalsec__243c5aa8,mbechler_marshalsec,codex,v3,Moderately degraded,andvari-v3,passed,,160,0,0,False,none
20260505T150537Z__frohoff_ysoserial__218bcffc,frohoff_ysoserial,codex,generated,Best-effort,andvari,passed,,174,0,0,False,none
20260505T150537Z__frohoff_ysoserial__218bcffc,frohoff_ysoserial,codex,v2,Slightly degraded,andvari-v2,passed,,134,0,0,False,none
20260505T150537Z__frohoff_ysoserial__218bcffc,frohoff_ysoserial,codex,v3,Moderately degraded,andvari-v3,passed,,150,0,0,False,none
20260505T150549Z__xtuhcy_gecco__e1f32e1c,xtuhcy_gecco,codex,generated,Best-effort,andvari,passed,,264,0,0,False,none
20260505T150549Z__xtuhcy_gecco__e1f32e1c,xtuhcy_gecco,codex,v2,Slightly degraded,andvari-v2,passed,,264,0,0,False,none
20260505T150549Z__xtuhcy_gecco__e1f32e1c,xtuhcy_gecco,codex,v3,Moderately degraded,andvari-v3,passed,,234,0,0,False,none
20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,happyfish100_fastdfs-client-java,codex,generated,Best-effort,andvari,passed,,188,0,0,False,none
20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,happyfish100_fastdfs-client-java,codex,v2,Slightly degraded,andvari-v2,passed,,214,0,0,False,none
20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,happyfish100_fastdfs-client-java,codex,v3,Moderately degraded,andvari-v3,passed,,160,0,0,False,none
20260506T082105Z__JakeWharton_RxRelay__9540ecc7,JakeWharton_RxRelay,codex,generated,Best-effort,andvari,passed,,132,0,0,False,none
20260506T082105Z__JakeWharton_RxRelay__9540ecc7,JakeWharton_RxRelay,codex,v2,Slightly degraded,andvari-v2,passed,,142,0,0,False,none
20260506T082105Z__JakeWharton_RxRelay__9540ecc7,JakeWharton_RxRelay,codex,v3,Moderately degraded,andvari-v3,passed,,78,0,0,False,none
20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,amitshekhariitbhu_Android-Debug-Database,codex,generated,Best-effort,andvari,passed,,134,0,0,False,none
20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,amitshekhariitbhu_Android-Debug-Database,codex,v2,Slightly degraded,andvari-v2,passed,,172,0,0,False,none
20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,amitshekhariitbhu_Android-Debug-Database,codex,v3,Moderately degraded,andvari-v3,passed,,136,0,0,False,none
20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,amitshekhariitbhu_PRDownloader,codex,generated,Best-effort,andvari,passed,,144,0,0,False,none
20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,amitshekhariitbhu_PRDownloader,codex,v2,Slightly degraded,andvari-v2,passed,,154,0,0,False,none
20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,amitshekhariitbhu_PRDownloader,codex,v3,Moderately degraded,andvari-v3,passed,,126,0,0,False,none
20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,esoxjem_MovieGuide,codex,generated,Best-effort,andvari,passed,,162,0,0,False,none
