agent,blocked_egress_line_count,proxy_access_line_count,proxy_denied_count,reason,repo_slug,run_id,status,step,variant
codex,0,216,0,,ulisesbocchio_jasypt-spring-boot,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,passed,andvari,generated
codex,0,222,0,,ulisesbocchio_jasypt-spring-boot,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,passed,andvari-v2,v2
codex,0,210,0,,ulisesbocchio_jasypt-spring-boot,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,passed,andvari-v3,v3
codex,0,156,0,,mbechler_marshalsec,20260505T150455Z__mbechler_marshalsec__243c5aa8,passed,andvari,generated
codex,0,156,0,,mbechler_marshalsec,20260505T150455Z__mbechler_marshalsec__243c5aa8,passed,andvari-v2,v2
codex,0,160,0,,mbechler_marshalsec,20260505T150455Z__mbechler_marshalsec__243c5aa8,passed,andvari-v3,v3
codex,0,174,0,,frohoff_ysoserial,20260505T150537Z__frohoff_ysoserial__218bcffc,passed,andvari,generated
codex,0,134,0,,frohoff_ysoserial,20260505T150537Z__frohoff_ysoserial__218bcffc,passed,andvari-v2,v2
codex,0,150,0,,frohoff_ysoserial,20260505T150537Z__frohoff_ysoserial__218bcffc,passed,andvari-v3,v3
codex,0,264,0,,xtuhcy_gecco,20260505T150549Z__xtuhcy_gecco__e1f32e1c,passed,andvari,generated
codex,0,264,0,,xtuhcy_gecco,20260505T150549Z__xtuhcy_gecco__e1f32e1c,passed,andvari-v2,v2
codex,0,234,0,,xtuhcy_gecco,20260505T150549Z__xtuhcy_gecco__e1f32e1c,passed,andvari-v3,v3
codex,0,188,0,,happyfish100_fastdfs-client-java,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,passed,andvari,generated
codex,0,214,0,,happyfish100_fastdfs-client-java,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,passed,andvari-v2,v2
codex,0,160,0,,happyfish100_fastdfs-client-java,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,passed,andvari-v3,v3
codex,0,132,0,,JakeWharton_RxRelay,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,passed,andvari,generated
codex,0,142,0,,JakeWharton_RxRelay,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,passed,andvari-v2,v2
codex,0,78,0,,JakeWharton_RxRelay,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,passed,andvari-v3,v3
codex,0,134,0,,amitshekhariitbhu_Android-Debug-Database,20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,passed,andvari,generated
codex,0,172,0,,amitshekhariitbhu_Android-Debug-Database,20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,passed,andvari-v2,v2
codex,0,136,0,,amitshekhariitbhu_Android-Debug-Database,20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,passed,andvari-v3,v3
codex,0,144,0,,amitshekhariitbhu_PRDownloader,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,passed,andvari,generated
codex,0,154,0,,amitshekhariitbhu_PRDownloader,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,passed,andvari-v2,v2
codex,0,126,0,,amitshekhariitbhu_PRDownloader,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,passed,andvari-v3,v3
codex,0,162,0,,esoxjem_MovieGuide,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,passed,andvari,generated
codex,0,126,0,,esoxjem_MovieGuide,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,passed,andvari-v2,v2
codex,0,142,0,,esoxjem_MovieGuide,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,passed,andvari-v3,v3
codex,0,172,0,,19MisterX98_SeedcrackerX,20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d,passed,andvari,generated
codex,0,134,0,,19MisterX98_SeedcrackerX,20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d,passed,andvari-v2,v2
codex,0,134,0,,19MisterX98_SeedcrackerX,20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d,passed,andvari-v3,v3
codex,0,186,0,,airbnb_native-navigation,20260507T093422Z__airbnb_native-navigation__9cf50bf9,passed,andvari,generated
codex,0,180,1,,airbnb_native-navigation,20260507T093422Z__airbnb_native-navigation__9cf50bf9,passed,andvari-v2,v2
codex,0,132,0,,airbnb_native-navigation,20260507T093422Z__airbnb_native-navigation__9cf50bf9,passed,andvari-v3,v3
codex,0,194,0,,awaitility_awaitility,20260507T093651Z__awaitility_awaitility__4fc23ccb,passed,andvari,generated
codex,0,186,0,,awaitility_awaitility,20260507T093651Z__awaitility_awaitility__4fc23ccb,passed,andvari-v2,v2
