agent,run_id,repo_slug,variant,runtime.started_at,runtime.finished_at,result.status,result.reason,result.verdict,result.verdict_reason,result.failure_class,inputs.adapter,inputs.original_subdir,inputs.generated_subdir,test_scope.mode,test_scope.status,test_scope.runner,test_scope.build_tool,test_scope.selection_reason,test_scope.failure_class,test_scope.selected_commands_count,test_scope.selected_tasks_count,test_scope.excluded_commands_count,test_scope.excluded_reason_counts,test_scope.probe_count,test_scope.probe_pass_count,test_scope.probe_fail_count,test_scope.probe_no_test_signal_count,baselines.original.status,baselines.original.exit_code,baselines.original.strategy,baselines.original.failure.class,baselines.original.failure.type,baselines.original.failure.phase,baselines.original.failure.subclass,baselines.original.execution.tests_discovered,baselines.original.execution.tests_executed,baselines.original.execution.tests_failed,baselines.original.execution.tests_errors,baselines.original.execution.tests_skipped,baselines.original.execution.junit_reports_found,baselines.generated.status,baselines.generated.exit_code,baselines.generated.strategy,baselines.generated.failure.class,baselines.generated.failure.type,baselines.generated.failure.phase,baselines.generated.failure.subclass,baselines.generated.execution.tests_discovered,baselines.generated.execution.tests_executed,baselines.generated.execution.tests_failed,baselines.generated.execution.tests_errors,baselines.generated.execution.tests_skipped,baselines.generated.execution.junit_reports_found,porting.status,porting.exit_code,porting.iterations_used,porting.adapter_nonzero_runs,porting.execution.tests_discovered,porting.execution.tests_executed,porting.execution.tests_failed,porting.execution.tests_errors,porting.execution.tests_skipped,porting.execution.junit_reports_found,evidence.behavioral.junit_report_count,evidence.behavioral.failing_case_count,evidence.behavioral.failing_case_unique_count,evidence.behavioral.failing_case_occurrence_count,evidence.suite_changes.added,evidence.suite_changes.modified,evidence.suite_changes.deleted,evidence.suite_changes.renamed,evidence.suite_changes.total,evidence.retention.original_snapshot_file_count,evidence.retention.final_ported_test_file_count,evidence.retention.retained_original_test_file_count,evidence.retention.removed_original_test_file_count,evidence.retention.retention_ratio,evidence.retention.retained_modified_count,evidence.retention.retained_unchanged_count,evidence.retention.assertion_line_change_count,evidence.retention.undocumented_removed_test_count,evidence.retention.documented_removed_test_count,evidence.retention.removed_tests_by_category,diagnostics.adapter_prereqs_ok,diagnostics.generated_repo_unchanged,diagnostics.failure.phase,diagnostics.failure.subclass,diagnostics.runner.detected_runner,diagnostics.runner.supported,diagnostics.runner.missing_capabilities,diagnostics.runner.frameworks_detected,diagnostics.write_scope.violation_count
codex,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,ulisesbocchio_jasypt-spring-boot,generated,2026-05-05T12:47:52Z,2026-05-05T13:02:14Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,none,maven,maven,no-portable-test-signal,,0,0,1,"{""no-test-signal"":1}",1,1,0,0,pass,0,maven-unit-first-fallback-full,,,,,14,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,25,16,0,0,0,13,fail,1,0,0,43,39,2,13,0,17,17,15,15,15,4,1,0,0,5,14,43,14,0,1.0,0,14,0,0,0,{},True,True,assertion,assertion-failure,maven,True,[],"[""junit5""]",0
codex,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,ulisesbocchio_jasypt-spring-boot,v2,2026-05-05T13:31:47Z,2026-05-05T13:45:49Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,none,maven,maven,no-portable-test-signal,,0,0,1,"{""no-test-signal"":1}",1,1,0,0,pass,0,maven-unit-first-fallback-full,,,,,14,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,15,26,0,0,0,15,fail,1,0,0,43,74,2,7,1,20,20,9,9,9,14,0,0,0,14,14,43,14,0,1.0,0,14,0,0,0,{},True,True,assertion,assertion-failure,maven,True,[],"[""junit5""]",0
codex,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,ulisesbocchio_jasypt-spring-boot,v3,2026-05-05T14:09:22Z,2026-05-05T14:23:42Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,none,maven,maven,no-portable-test-signal,,0,0,1,"{""no-test-signal"":1}",1,1,0,0,pass,0,maven-unit-first-fallback-full,,,,,14,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,8,8,0,0,0,7,fail,1,0,0,36,58,11,8,0,12,12,19,19,19,14,0,0,0,14,14,36,14,0,1.0,0,14,0,0,0,{},True,True,assertion,assertion-failure,maven,True,[],"[""junit5""]",0
codex,20260505T150455Z__mbechler_marshalsec__243c5aa8,mbechler_marshalsec,generated,2026-05-05T15:24:37Z,2026-05-05T15:31:46Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,none,maven,maven,no-portable-test-signal,,0,0,2,"{""environment-assumption-failure"":2}",2,0,2,0,fail-with-integration-skip,1,maven-unit-first-fallback-full,environment-assumption-failure,environmental-noise,environment,environment-assumption-failure,1,17,0,17,0,1,pass,0,maven-unit-first-fallback-full,,,,,15,28,0,0,0,14,fail,1,1,0,1,17,4,0,0,1,1,4,4,4,0,1,0,0,1,1,1,1,0,1.0,1,0,4,0,0,{},True,True,assertion,assertion-failure,maven,True,[],"[""junit4""]",0
codex,20260505T150455Z__mbechler_marshalsec__243c5aa8,mbechler_marshalsec,v2,2026-05-05T15:50:06Z,2026-05-05T15:57:16Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,none,maven,maven,no-portable-test-signal,,0,0,2,"{""environment-assumption-failure"":2}",2,0,2,0,fail-with-integration-skip,1,maven-unit-first-fallback-full,environment-assumption-failure,environmental-noise,environment,environment-assumption-failure,1,17,0,17,0,1,pass,0,maven-unit-first-fallback-full,,,,,13,20,0,0,0,13,fail,1,0,0,1,17,17,0,0,1,1,17,17,17,0,1,0,0,1,1,1,1,0,1.0,1,0,3,0,0,{},True,True,assertion,assertion-failure,maven,True,[],"[""junit4""]",0
codex,20260505T150455Z__mbechler_marshalsec__243c5aa8,mbechler_marshalsec,v3,2026-05-05T16:15:01Z,2026-05-05T16:22:24Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,none,maven,maven,no-portable-test-signal,,0,0,2,"{""environment-assumption-failure"":2}",2,0,2,0,fail-with-integration-skip,1,maven-unit-first-fallback-full,environment-assumption-failure,environmental-noise,environment,environment-assumption-failure,1,17,0,17,0,1,pass,0,maven-unit-first-fallback-full,,,,,12,14,0,0,0,11,fail,1,1,0,1,17,3,0,0,1,1,3,3,3,0,1,0,0,1,1,1,1,0,1.0,1,0,0,0,0,{},True,True,assertion,assertion-failure,maven,True,[],"[""junit4""]",0
codex,20260505T150537Z__frohoff_ysoserial__218bcffc,frohoff_ysoserial,generated,2026-05-05T18:09:25Z,2026-05-05T18:25:56Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,none,maven,maven,no-portable-test-signal,,0,0,2,"{""environment-assumption-failure"":2}",2,0,2,0,fail-with-integration-skip,1,maven-unit-first-fallback-full,dependency-resolution-failure,environmental-noise,dependency-resolution,dependency-resolution-failure,19,39,5,4,13,4,pass,0,maven-unit-first-fallback-full,,,,,7,17,0,0,0,7,fail,1,0,0,19,39,22,3,6,4,4,25,25,25,0,10,0,0,10,19,19,19,0,1.0,10,9,19,0,0,{},True,True,assertion,assertion-failure,maven,True,[],"[""junit4""]",0
codex,20260505T150537Z__frohoff_ysoserial__218bcffc,frohoff_ysoserial,v2,2026-05-05T18:45:38Z,2026-05-05T19:44:15Z,failed,tests-failed,difference_detected,assertion-mismatch-evidence,environment-assumption-failure,codex,,,portable-tests,none,maven,maven,no-portable-test-signal,,0,0,2,"{""environment-assumption-failure"":2}",2,0,2,0,fail-with-integration-skip,1,maven-unit-first-fallback-full,dependency-resolution-failure,environmental-noise,dependency-resolution,dependency-resolution-failure,19,39,5,4,13,4,pass,0,maven-unit-first-fallback-full,,,,,13,24,0,0,0,12,fail,1,5,0,19,39,13,5,13,4,4,18,18,18,0,10,0,0,10,19,19,19,0,1.0,10,9,21,0,0,{},True,True,environment,environment-assumption-failure,maven,True,[],"[""junit4""]",0
codex,20260505T150537Z__frohoff_ysoserial__218bcffc,frohoff_ysoserial,v3,2026-05-05T20:01:54Z,2026-05-05T20:17:18Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,none,maven,maven,no-portable-test-signal,,0,0,2,"{""environment-assumption-failure"":2}",2,0,2,0,fail-with-integration-skip,1,maven-unit-first-fallback-full,dependency-resolution-failure,environmental-noise,dependency-resolution,dependency-resolution-failure,19,39,5,4,13,4,pass,0,maven-unit-first-fallback-full,,,,,15,31,0,0,0,15,fail,1,0,0,19,39,20,6,5,4,4,26,26,26,0,10,0,0,10,19,19,19,0,1.0,10,9,20,0,0,{},True,True,assertion,assertion-failure,maven,True,[],"[""junit4""]",0
codex,20260505T150549Z__xtuhcy_gecco__e1f32e1c,xtuhcy_gecco,generated,2026-05-05T20:48:55Z,2026-05-05T21:00:22Z,passed,,no_difference_detected,retained-ported-tests-pass,,codex,,,portable-tests,none,maven,maven,no-portable-test-signal,,0,0,1,"{""no-test-signal"":1}",1,1,0,0,pass,0,maven-unit-first-fallback-full,,,,,32,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,26,17,0,0,0,15,pass,0,0,0,58,17,0,0,0,15,15,0,0,0,26,4,0,0,30,32,58,32,0,1.0,4,28,0,0,0,{},True,True,,,maven,True,[],"[""unknown""]",0
codex,20260505T150549Z__xtuhcy_gecco__e1f32e1c,xtuhcy_gecco,v2,2026-05-05T21:27:23Z,2026-05-05T21:36:06Z,failed,write-scope-violation,invalid,write-scope-violation,write-scope-violation,codex,,,portable-tests,none,maven,maven,no-portable-test-signal,,0,0,1,"{""no-test-signal"":1}",1,1,0,0,pass,0,maven-unit-first-fallback-full,,,,,32,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,18,22,0,0,0,14,fail,1,0,0,0,0,0,0,0,0,3,6,6,6,1,9,0,0,10,32,33,32,0,1.0,8,24,19,0,0,{},True,True,,,maven,True,[],"[""unknown""]",1
codex,20260505T150549Z__xtuhcy_gecco__e1f32e1c,xtuhcy_gecco,v3,2026-05-05T22:00:33Z,2026-05-05T22:09:47Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,none,maven,maven,no-portable-test-signal,,0,0,1,"{""no-test-signal"":1}",1,1,0,0,pass,0,maven-unit-first-fallback-full,,,,,32,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,15,15,0,0,0,14,fail,1,0,0,34,5,1,0,0,2,2,1,1,1,2,15,0,0,17,32,34,32,0,1.0,15,17,0,0,0,{},True,True,assertion,assertion-failure,maven,True,[],"[""unknown""]",0
codex,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,happyfish100_fastdfs-client-java,generated,2026-05-06T08:41:15Z,2026-05-06T08:45:39Z,passed,,no_difference_detected,retained-ported-tests-pass,,codex,,,portable-tests,none,maven,maven,no-portable-test-signal,,0,0,1,"{""no-test-signal"":1}",1,1,0,0,pass,0,maven-unit-first-fallback-full,,,,,16,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,17,24,0,0,0,16,pass,0,0,0,16,3,0,0,3,1,1,0,0,0,0,1,0,0,1,16,16,16,0,1.0,1,15,12,0,0,{},True,True,,,maven,True,[],"[""junit4""]",0
codex,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,happyfish100_fastdfs-client-java,v2,2026-05-06T09:10:49Z,2026-05-06T09:22:42Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,none,maven,maven,no-portable-test-signal,,0,0,1,"{""no-test-signal"":1}",1,1,0,0,pass,0,maven-unit-first-fallback-full,,,,,16,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,16,19,0,0,0,14,fail,1,0,0,18,21,6,0,0,11,11,6,6,6,2,13,0,0,15,16,18,16,0,1.0,13,3,121,0,0,{},True,True,assertion,assertion-failure,maven,True,[],"[""junit4""]",0
codex,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,happyfish100_fastdfs-client-java,v3,2026-05-06T09:42:20Z,2026-05-06T09:53:50Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,none,maven,maven,no-portable-test-signal,,0,0,1,"{""no-test-signal"":1}",1,1,0,0,pass,0,maven-unit-first-fallback-full,,,,,16,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,7,12,0,0,0,6,fail,1,0,0,17,26,5,0,1,11,11,5,5,5,1,12,0,0,13,16,17,16,0,1.0,12,4,192,0,0,{},True,True,assertion,assertion-failure,maven,True,[],"[""junit4""]",0
codex,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,JakeWharton_RxRelay,generated,2026-05-06T10:07:50Z,2026-05-06T10:12:34Z,passed,,no_difference_detected,retained-ported-tests-pass,,codex,,,portable-tests,selected,gradle-wrapper,gradle,one-or-more-gradle-tasks-passed,,1,1,0,{},1,1,0,0,pass,0,single-run,,,,,8,64,0,0,3,6,pass,0,maven-unit-first-fallback-full,,,,,4,15,0,0,0,4,pass,0,0,0,15,64,0,0,3,6,6,0,0,0,7,0,0,0,7,8,15,8,0,1.0,0,8,0,0,0,{},True,True,,,maven,True,[],"[""junit4""]",0
codex,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,JakeWharton_RxRelay,v2,2026-05-06T10:27:44Z,2026-05-06T10:35:45Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,selected,gradle-wrapper,gradle,one-or-more-gradle-tasks-passed,,1,1,0,{},1,1,0,0,pass,0,single-run,,,,,8,64,0,0,3,6,pass,0,maven-unit-first-fallback-full,,,,,7,21,0,0,0,7,fail,1,0,0,8,64,4,0,3,6,6,4,4,4,0,7,0,0,7,8,8,8,0,1.0,7,1,140,0,0,{},True,True,assertion,assertion-failure,maven,True,[],"[""junit4""]",0
codex,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,JakeWharton_RxRelay,v3,2026-05-06T10:47:57Z,2026-05-06T10:53:58Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,selected,gradle-wrapper,gradle,one-or-more-gradle-tasks-passed,,1,1,0,{},1,1,0,0,pass,0,single-run,,,,,8,64,0,0,3,6,fail,1,single-run,runtime-test-failure,runtime,runtime,runtime-test-failure,9,0,0,0,0,0,fail,1,0,0,10,64,5,0,3,0,0,0,0,0,2,3,0,0,5,8,10,8,0,1.0,3,5,42,0,0,{},True,True,assertion,assertion-failure,gradle-wrapper,True,[],"[""junit4""]",0
codex,20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,amitshekhariitbhu_Android-Debug-Database,generated,2026-05-06T11:11:33Z,2026-05-06T11:16:34Z,passed,,inconclusive,baseline-not-comparable,,codex,,,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,,0,0,1,"{""environment-assumption-failure"":1}",1,0,1,0,fail,1,single-run,runtime-test-failure,runtime,runtime,runtime-test-failure,10,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,23,17,0,0,0,17,pass,0,0,0,21,10,0,0,0,10,10,0,0,0,5,5,17,0,27,10,21,10,0,1.0,0,10,0,0,0,{},True,True,,,maven,True,[],"[""junit4"",""junit5""]",0
codex,20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,amitshekhariitbhu_Android-Debug-Database,v2,2026-05-06T11:39:41Z,2026-05-06T11:45:13Z,failed,write-scope-violation,invalid,write-scope-violation,write-scope-violation,codex,,,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,,0,0,1,"{""environment-assumption-failure"":1}",1,0,1,0,fail,1,single-run,runtime-test-failure,runtime,runtime,runtime-test-failure,10,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,20,22,0,0,0,19,fail,1,0,0,0,0,0,0,0,0,24,0,0,0,5,6,0,0,11,10,35,10,0,1.0,0,10,0,0,0,{},True,True,,,maven,True,[],"[""junit4"",""junit5""]",1
codex,20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,amitshekhariitbhu_Android-Debug-Database,v3,2026-05-06T12:02:40Z,2026-05-06T12:08:23Z,passed,,inconclusive,baseline-not-comparable,,codex,,,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,,0,0,1,"{""environment-assumption-failure"":1}",1,0,1,0,fail,1,single-run,runtime-test-failure,runtime,runtime,runtime-test-failure,10,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,10,13,0,0,0,10,pass,0,0,0,25,18,0,0,5,15,15,0,0,0,5,5,0,0,10,10,25,10,0,1.0,0,10,0,0,0,{},True,True,,,maven,True,[],"[""junit4"",""junit5""]",0
codex,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,amitshekhariitbhu_PRDownloader,generated,2026-05-06T12:26:52Z,2026-05-06T12:32:26Z,passed,,inconclusive,baseline-not-comparable,,codex,,,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,,0,0,1,"{""environment-assumption-failure"":1}",1,0,1,0,fail,1,single-run,runtime-test-failure,runtime,runtime,runtime-test-failure,4,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,15,15,0,0,0,14,pass,0,0,0,24,19,0,0,2,18,18,0,0,0,5,0,0,0,5,4,24,4,0,1.0,0,4,0,0,0,{},True,True,,,maven,True,[],"[""junit4"",""junit5""]",0
codex,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,amitshekhariitbhu_PRDownloader,v2,2026-05-06T12:49:57Z,2026-05-06T12:55:38Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,,0,0,1,"{""environment-assumption-failure"":1}",1,0,1,0,fail,1,single-run,runtime-test-failure,runtime,runtime,runtime-test-failure,4,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,16,15,0,0,0,15,fail,1,0,0,8,4,1,0,0,4,4,1,1,1,2,2,14,0,18,4,8,4,0,1.0,0,4,0,0,0,{},True,True,assertion,assertion-failure,maven,True,[],"[""junit4"",""junit5""]",0
codex,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,amitshekhariitbhu_PRDownloader,v3,2026-05-06T13:13:40Z,2026-05-06T13:18:16Z,passed,,inconclusive,baseline-not-comparable,,codex,,,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,,0,0,1,"{""environment-assumption-failure"":1}",1,0,1,0,fail,1,single-run,runtime-test-failure,runtime,runtime,runtime-test-failure,4,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,19,26,0,0,0,15,pass,0,0,0,25,28,0,0,0,17,17,0,0,0,2,0,0,0,2,4,25,4,0,1.0,0,4,0,0,0,{},True,True,,,maven,True,[],"[""junit4"",""junit5""]",0
codex,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,esoxjem_MovieGuide,generated,2026-05-06T13:37:28Z,2026-05-06T13:43:03Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,,0,0,1,"{""environment-assumption-failure"":1}",1,0,1,0,fail,1,single-run,runtime-test-failure,runtime,runtime,runtime-test-failure,5,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,12,32,0,0,0,12,fail,1,0,0,21,45,3,0,0,15,15,3,3,3,4,1,0,0,5,5,21,5,0,1.0,0,5,0,0,0,{},True,True,assertion,assertion-failure,maven,True,[],"[""junit4"",""junit5""]",0
codex,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,esoxjem_MovieGuide,v2,2026-05-06T13:59:47Z,2026-05-06T14:05:38Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,,0,0,1,"{""environment-assumption-failure"":1}",1,0,1,0,fail,1,single-run,runtime-test-failure,runtime,runtime,runtime-test-failure,5,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,9,9,0,0,0,9,fail,1,0,0,18,27,3,0,0,13,13,3,3,3,4,0,0,0,4,5,18,5,0,1.0,0,5,0,0,0,{},True,True,assertion,assertion-failure,maven,True,[],"[""junit4"",""junit5""]",0
codex,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,esoxjem_MovieGuide,v3,2026-05-06T14:21:44Z,2026-05-06T14:27:30Z,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,codex,,,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,,0,0,1,"{""environment-assumption-failure"":1}",1,0,1,0,fail,1,single-run,runtime-test-failure,runtime,runtime,runtime-test-failure,5,0,0,0,0,0,pass,0,maven-unit-first-fallback-full,,,,,10,22,0,0,0,10,fail,1,0,0,14,40,3,0,0,14,14,3,3,3,4,0,5,0,9,5,14,0,5,0.0,0,0,0,0,5,"{""generated-layout-mismatch"":5}",True,True,assertion,assertion-failure,maven,True,[],"[""junit4"",""junit5""]",0
codex,20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d,19MisterX98_SeedcrackerX,generated,2026-05-07T09:51:08Z,2026-05-07T09:55:02Z,skipped,no-test-files-found,skipped,no-test-files-found,,codex,,,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,,0,0,1,"{""no-test-signal"":1}",1,1,0,0,pass,0,single-run,,,,,0,0,0,0,0,0,skipped,-1,single-run,,,,,0,0,0,0,0,0,skipped,-1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,,0,0,0,0,0,{},True,True,,,unknown,False,[],[],0
