agent,run_id,repo_slug,variant,step,status,reason,report_status,started_at,finished_at,duration_seconds,input_repo_source,project_key,scan_label,sonar_task_id,sonar_submission_worked
codex,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,ulisesbocchio_jasypt-spring-boot,original,lidskjalv-original,passed,,passed,2026-05-05T12:25:03Z,2026-05-05T12:32:29Z,446,brokk_original,ulisesbocchio_jasypt-spring-boot__original,original,AZ34IAEBt4ozIRTGTcBB,True
codex,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,ulisesbocchio_jasypt-spring-boot,generated,lidskjalv-generated,passed,,passed,2026-05-05T13:02:15Z,2026-05-05T13:05:20Z,185,kvasir_ported,ulisesbocchio_jasypt-spring-boot__generated,generated,AZ34Ph0ct4ozIRTGTeIr,True
codex,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,ulisesbocchio_jasypt-spring-boot,v2,lidskjalv-generated-v2,passed,,passed,2026-05-05T13:45:50Z,2026-05-05T13:49:02Z,192,kvasir_ported,ulisesbocchio_jasypt-spring-boot__generated_v2,generated-v2,AZ34ZhojGZ8ITdfpFXs9,True
codex,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,ulisesbocchio_jasypt-spring-boot,v3,lidskjalv-generated-v3,passed,,passed,2026-05-05T14:23:43Z,2026-05-05T14:26:31Z,168,kvasir_ported,ulisesbocchio_jasypt-spring-boot__generated_v3,generated-v3,AZ34iGsCDYwLL4iD5e33,True
codex,20260505T150455Z__mbechler_marshalsec__243c5aa8,mbechler_marshalsec,original,lidskjalv-original,passed,,passed,2026-05-05T15:05:13Z,2026-05-05T15:08:28Z,195,brokk_original,mbechler_marshalsec__original,original,AZ34rtP-DYwLL4iD5hw5,True
codex,20260505T150455Z__mbechler_marshalsec__243c5aa8,mbechler_marshalsec,generated,lidskjalv-generated,passed,,passed,2026-05-05T15:31:46Z,2026-05-05T15:34:08Z,142,kvasir_ported,mbechler_marshalsec__generated,generated,AZ34xlidHEvY9BWaz1Re,True
codex,20260505T150455Z__mbechler_marshalsec__243c5aa8,mbechler_marshalsec,v2,lidskjalv-generated-v2,passed,,passed,2026-05-05T15:57:16Z,2026-05-05T15:59:39Z,143,kvasir_ported,mbechler_marshalsec__generated_v2,generated-v2,AZ343bQOjHuTJcX3B8WU,True
codex,20260505T150455Z__mbechler_marshalsec__243c5aa8,mbechler_marshalsec,v3,lidskjalv-generated-v3,passed,,passed,2026-05-05T16:22:25Z,2026-05-05T16:24:48Z,143,kvasir_ported,mbechler_marshalsec__generated_v3,generated-v3,AZ349L2tU-9KCPUrEBNH,True
codex,20260505T150537Z__frohoff_ysoserial__218bcffc,frohoff_ysoserial,original,lidskjalv-original,passed,,passed,2026-05-05T17:52:52Z,2026-05-05T17:56:08Z,196,brokk_original,frohoff_ysoserial__original,original,AZ35SFV5rmvY_3DNnAc1,True
codex,20260505T150537Z__frohoff_ysoserial__218bcffc,frohoff_ysoserial,generated,lidskjalv-generated,passed,,passed,2026-05-05T18:25:56Z,2026-05-05T18:30:24Z,268,kvasir_ported,frohoff_ysoserial__generated,generated,AZ35Z7SRuLvpCwB3Faz2,True
codex,20260505T150537Z__frohoff_ysoserial__218bcffc,frohoff_ysoserial,v2,lidskjalv-generated-v2,passed,,passed,2026-05-05T19:44:15Z,2026-05-05T19:47:45Z,210,kvasir_ported,frohoff_ysoserial__generated_v2,generated-v2,AZ35rosbvsybLcOzqxOO,True
codex,20260505T150537Z__frohoff_ysoserial__218bcffc,frohoff_ysoserial,v3,lidskjalv-generated-v3,passed,,passed,2026-05-05T20:17:18Z,2026-05-05T20:21:11Z,233,kvasir_ported,frohoff_ysoserial__generated_v3,generated-v3,AZ35zSTGmhbcSvioQy6q,True
codex,20260505T150549Z__xtuhcy_gecco__e1f32e1c,xtuhcy_gecco,original,lidskjalv-original,passed,,passed,2026-05-05T20:21:26Z,2026-05-05T20:23:54Z,148,brokk_original,xtuhcy_gecco__original,original,AZ35z5teDYwLL4iD5uox,True
codex,20260505T150549Z__xtuhcy_gecco__e1f32e1c,xtuhcy_gecco,generated,lidskjalv-generated,passed,,passed,2026-05-05T21:00:22Z,2026-05-05T21:03:33Z,191,kvasir_ported,xtuhcy_gecco__generated,generated,AZ358-krU-9KCPUrEKsT,True
codex,20260505T150549Z__xtuhcy_gecco__e1f32e1c,xtuhcy_gecco,v2,lidskjalv-generated-v2,passed,,passed,2026-05-05T21:36:06Z,2026-05-05T21:38:26Z,140,kvasir_ported,xtuhcy_gecco__generated_v2,generated-v2,AZ36E9lGDYwLL4iD5w0S,True
codex,20260505T150549Z__xtuhcy_gecco__e1f32e1c,xtuhcy_gecco,v3,lidskjalv-generated-v3,passed,,passed,2026-05-05T22:09:47Z,2026-05-05T22:12:07Z,140,kvasir_ported,xtuhcy_gecco__generated_v3,generated-v3,AZ36MrV3HEvY9BWa0DwU,True
codex,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,happyfish100_fastdfs-client-java,original,lidskjalv-original,passed,,passed,2026-05-06T08:21:06Z,2026-05-06T08:24:07Z,181,brokk_original,happyfish100_fastdfs-client-java__original,original,AZ38YwBRHEvY9BWa0R_l,True
codex,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,happyfish100_fastdfs-client-java,generated,lidskjalv-generated,passed,,passed,2026-05-06T08:45:39Z,2026-05-06T08:48:43Z,184,kvasir_ported,happyfish100_fastdfs-client-java__generated,generated,AZ38eYleHEvY9BWa0TVP,True
codex,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,happyfish100_fastdfs-client-java,v2,lidskjalv-generated-v2,passed,,passed,2026-05-06T09:22:42Z,2026-05-06T09:25:54Z,192,kvasir_ported,happyfish100_fastdfs-client-java__generated_v2,generated-v2,AZ38m44RkFDSk_1VsJEE,True
codex,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,happyfish100_fastdfs-client-java,v3,lidskjalv-generated-v3,passed,,passed,2026-05-06T09:53:50Z,2026-05-06T09:56:35Z,165,kvasir_ported,happyfish100_fastdfs-client-java__generated_v3,generated-v3,AZ38t6p4XS-AChK6amqb,True
codex,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,JakeWharton_RxRelay,original,lidskjalv-original,passed,,passed,2026-05-06T09:56:50Z,2026-05-06T10:00:17Z,207,brokk_original,JakeWharton_RxRelay__original,original,AZ38uwo9JoK8eQKx0lj4,True
codex,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,JakeWharton_RxRelay,generated,lidskjalv-generated,passed,,passed,2026-05-06T10:12:34Z,2026-05-06T10:15:08Z,154,kvasir_ported,JakeWharton_RxRelay__generated,generated,AZ38yKYswnL4S1Rfzres,True
codex,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,JakeWharton_RxRelay,v2,lidskjalv-generated-v2,passed,,passed,2026-05-06T10:35:45Z,2026-05-06T10:38:20Z,155,kvasir_ported,JakeWharton_RxRelay__generated_v2,generated-v2,AZ383eiCAEomf-YISDBt,True
codex,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,JakeWharton_RxRelay,v3,lidskjalv-generated-v3,passed,,passed,2026-05-06T10:53:58Z,2026-05-06T10:55:53Z,115,kvasir_ported,JakeWharton_RxRelay__generated_v3,generated-v3,AZ387fhYB_tH4n4WCt_2,True
