run_id,repo,commit,variant,mimir_status,mimir_reason,mimir_status_detail,mimir_exact_similarity,mimir_fuzzy_similarity,mimir_exact_packages,mimir_exact_types,mimir_exact_fields,mimir_exact_methods,mimir_exact_relations,mimir_fuzzy_matched_type_coverage,mimir_fuzzy_field_preservation,mimir_fuzzy_method_preservation,mimir_fuzzy_relation_preservation,mimir_fuzzy_name_package_retention,mimir_diff_missing_packages,mimir_diff_added_packages,mimir_diff_missing_types,mimir_diff_added_types,mimir_diff_likely_renamed_or_moved_types,mimir_diff_missing_fields,mimir_diff_added_fields,mimir_diff_changed_fields,mimir_diff_missing_methods,mimir_diff_added_methods,mimir_diff_changed_methods,mimir_diff_missing_relations,mimir_diff_added_relations,mimir_diff_changed_relations,kvasir_status,kvasir_reason,kvasir_verdict,kvasir_verdict_reason,kvasir_failure_class,kvasir_test_scope_mode,kvasir_test_scope_status,kvasir_test_scope_runner,kvasir_test_scope_build_tool,kvasir_test_scope_selection_reason,kvasir_baseline_original_status,kvasir_baseline_original_exit_code,kvasir_baseline_original_tests_discovered,kvasir_baseline_original_tests_executed,kvasir_baseline_original_tests_failed,kvasir_baseline_original_tests_errors,kvasir_baseline_original_junit_reports_found,kvasir_baseline_generated_status,kvasir_baseline_generated_exit_code,kvasir_baseline_generated_tests_discovered,kvasir_baseline_generated_tests_executed,kvasir_baseline_generated_tests_failed,kvasir_baseline_generated_tests_errors,kvasir_baseline_generated_junit_reports_found,kvasir_porting_status,kvasir_porting_exit_code,kvasir_iterations_used,kvasir_adapter_nonzero_runs,kvasir_porting_tests_discovered,kvasir_porting_tests_executed,kvasir_porting_tests_failed,kvasir_porting_tests_errors,kvasir_porting_tests_skipped,kvasir_porting_junit_reports_found,kvasir_behavioral_junit_report_count,kvasir_behavioral_failing_case_unique_count,kvasir_behavioral_failing_case_occurrence_count,kvasir_suite_changes_added,kvasir_suite_changes_modified,kvasir_suite_changes_deleted,kvasir_suite_changes_renamed,kvasir_suite_changes_total,kvasir_retention_ratio,kvasir_original_snapshot_file_count,kvasir_final_ported_test_file_count,kvasir_retained_original_test_file_count,kvasir_removed_original_test_file_count,kvasir_retained_modified_count,kvasir_retained_unchanged_count,kvasir_assertion_line_change_count,kvasir_undocumented_removed_test_count,kvasir_documented_removed_test_count,kvasir_write_scope_violation_count,kvasir_adapter_prereqs_ok,kvasir_generated_repo_unchanged
20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,ulisesbocchio_jasypt-spring-boot,2243cb80,main,passed,,,0.808364,0.679099,1.0,0.927374,0.738916,0.578755,0.833107,0.927374,0.813008,0.604828,0.233379,0.996252,0,0,9,4,4,5,10,27,44,209,29,271,294,0,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,portable-tests,none,maven,maven,no-portable-test-signal,pass,0,14,0,0,0,0,pass,0,25,16,0,0,13,fail,1,0,0,43,39,2,13,0,17,17,15,15,4,1,0,0,5,1.0,14,43,14,0,0,14,0,0,0,0,True,True
20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,ulisesbocchio_jasypt-spring-boot,2243cb80,v2,passed,,,0.792709,0.675426,1.0,0.932584,0.734694,0.536269,0.807018,0.955056,0.792453,0.560647,0.232119,0.998824,0,0,7,1,2,12,7,29,59,181,43,271,298,0,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,portable-tests,none,maven,maven,no-portable-test-signal,pass,0,14,0,0,0,0,pass,0,15,26,0,0,15,fail,1,0,0,43,74,2,7,1,20,20,9,9,14,0,0,0,14,1.0,14,43,14,0,0,14,0,0,0,0,True,True
20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,ulisesbocchio_jasypt-spring-boot,2243cb80,v3,passed,,,0.754717,0.647977,1.0,0.917127,0.643038,0.496749,0.765432,0.950276,0.69657,0.512,0.224966,0.997674,0,0,6,3,3,26,21,34,84,198,42,275,290,0,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,portable-tests,none,maven,maven,no-portable-test-signal,pass,0,14,0,0,0,0,pass,0,8,8,0,0,7,fail,1,0,0,36,58,11,8,0,12,12,19,19,14,0,0,0,14,1.0,14,36,14,0,0,14,0,0,0,0,True,True
20260505T150455Z__mbechler_marshalsec__243c5aa8,mbechler_marshalsec,243c5aa8,main,passed,,,0.596559,0.608951,0.5,0.773006,0.515625,0.28739,0.728285,0.785276,0.804878,0.362292,0.320713,1.0,0,8,7,28,1,1,1,7,7,60,139,307,303,0,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,portable-tests,none,maven,maven,no-portable-test-signal,fail-with-integration-skip,1,1,17,0,17,1,pass,0,15,28,0,0,14,fail,1,1,0,1,17,4,0,0,1,1,4,4,0,1,0,0,1,1.0,1,1,1,0,1,0,4,0,0,0,True,True
20260505T150455Z__mbechler_marshalsec__243c5aa8,mbechler_marshalsec,243c5aa8,v2,passed,,,0.616831,0.610107,0.533333,0.818182,0.522523,0.294017,0.739234,0.831169,0.74359,0.337255,0.327751,0.998295,0,7,7,19,3,5,1,7,28,50,130,314,248,0,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,portable-tests,none,maven,maven,no-portable-test-signal,fail-with-integration-skip,1,1,17,0,17,1,pass,0,13,20,0,0,13,fail,1,0,0,1,17,17,0,0,1,1,17,17,0,1,0,0,1,1.0,1,1,1,0,1,0,3,0,0,0,True,True
20260505T150455Z__mbechler_marshalsec__243c5aa8,mbechler_marshalsec,243c5aa8,v3,passed,,,0.602232,0.6062,0.470588,0.828947,0.446429,0.286713,0.745432,0.855263,0.666667,0.320939,0.343484,0.995628,0,9,6,16,2,11,5,5,40,63,122,310,229,0,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,portable-tests,none,maven,maven,no-portable-test-signal,fail-with-integration-skip,1,1,17,0,17,1,pass,0,12,14,0,0,11,fail,1,1,0,1,17,3,0,0,1,1,3,3,0,1,0,0,1,1.0,1,1,1,0,1,0,0,0,0,0,True,True
20260505T150527Z__Netflix_concurrency-limits__e8df64d8,Netflix_concurrency-limits,e8df64d8,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260505T150527Z__Netflix_concurrency-limits__e8df64d8,Netflix_concurrency-limits,e8df64d8,v2,passed,,,0.756647,0.67432,0.962963,0.852941,0.685057,0.634424,0.724907,0.926471,0.70283,0.666667,0.230483,1.0,0,1,2,8,4,35,23,34,86,66,37,194,220,0,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,fail,1,34,0,0,0,0,pass,0,12,28,0,0,11,fail,1,0,0,52,87,29,5,0,19,19,34,34,33,0,27,0,60,0.5588235294117647,34,52,19,15,0,19,0,0,15,0,True,True
20260505T150527Z__Netflix_concurrency-limits__e8df64d8,Netflix_concurrency-limits,e8df64d8,v3,passed,,,0.751294,0.665915,0.962963,0.874074,0.666667,0.565982,0.744275,0.948148,0.684211,0.595489,0.244275,0.986729,0,1,1,6,4,48,28,28,105,64,50,192,204,0,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,fail,1,34,0,0,0,0,pass,0,6,20,0,0,6,fail,1,0,0,59,96,43,1,2,21,21,44,44,25,0,6,0,31,1.0,34,59,34,0,0,34,0,0,0,0,True,True
20260505T150537Z__frohoff_ysoserial__218bcffc,frohoff_ysoserial,218bcffc,main,passed,,,0.533859,0.546961,0.631579,0.765432,0.301075,0.3125,0.572271,0.777778,0.697674,0.385396,0.129794,0.994486,0,7,14,22,3,2,3,4,9,38,128,354,236,0,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,portable-tests,none,maven,maven,no-portable-test-signal,fail-with-integration-skip,1,19,39,5,4,4,pass,0,7,17,0,0,7,fail,1,0,0,19,39,22,3,6,4,4,25,25,0,10,0,0,10,1.0,19,19,19,0,10,9,19,0,0,0,True,True
20260505T150537Z__frohoff_ysoserial__218bcffc,frohoff_ysoserial,218bcffc,v2,passed,,,0.547853,0.538552,0.6,0.782051,0.328358,0.297064,0.612245,0.807692,0.578947,0.372591,0.151603,0.96983,0,8,14,16,4,3,1,6,32,29,116,346,236,0,failed,tests-failed,difference_detected,assertion-mismatch-evidence,environment-assumption-failure,portable-tests,none,maven,maven,no-portable-test-signal,fail-with-integration-skip,1,19,39,5,4,4,pass,0,13,24,0,0,12,fail,1,5,0,19,39,13,5,13,4,4,18,18,0,10,0,0,10,1.0,19,19,19,0,10,9,21,0,0,0,True,True
20260505T150537Z__frohoff_ysoserial__218bcffc,frohoff_ysoserial,218bcffc,v3,passed,,,0.515858,0.527453,0.705882,0.767296,0.390244,0.274247,0.466867,0.792453,0.780488,0.338144,0.027108,0.982379,0,5,14,19,2,3,4,1,50,67,102,389,257,0,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,portable-tests,none,maven,maven,no-portable-test-signal,fail-with-integration-skip,1,19,39,5,4,4,pass,0,15,31,0,0,15,fail,1,0,0,19,39,20,6,5,4,4,26,26,0,10,0,0,10,1.0,19,19,19,0,10,9,20,0,0,0,True,True
20260505T150549Z__xtuhcy_gecco__e1f32e1c,xtuhcy_gecco,e1f32e1c,main,passed,,,0.78976,0.697855,0.944444,0.96875,0.552846,0.663438,0.791712,0.96875,0.565097,0.678218,0.348964,0.995806,0,2,1,7,1,0,9,74,31,83,138,289,308,0,passed,,no_difference_detected,retained-ported-tests-pass,,portable-tests,none,maven,maven,no-portable-test-signal,pass,0,32,0,0,0,0,pass,0,26,17,0,0,15,pass,0,0,0,58,17,0,0,0,15,15,0,0,26,4,0,0,30,1.0,32,58,32,0,4,28,0,0,0,0,True,True
20260505T150549Z__xtuhcy_gecco__e1f32e1c,xtuhcy_gecco,e1f32e1c,v2,passed,,,0.782321,0.69612,0.894737,0.96875,0.525469,0.67052,0.792453,0.960938,0.541436,0.686391,0.357381,1.0,0,4,2,8,0,5,15,73,72,99,100,288,291,0,failed,write-scope-violation,invalid,write-scope-violation,write-scope-violation,portable-tests,none,maven,maven,no-portable-test-signal,pass,0,32,0,0,0,0,pass,0,18,22,0,0,14,fail,1,0,0,0,0,0,0,0,0,3,6,6,1,9,0,0,10,1.0,32,33,32,0,8,24,19,0,0,1,True,True
20260505T150549Z__xtuhcy_gecco__e1f32e1c,xtuhcy_gecco,e1f32e1c,v3,passed,,,0.76062,0.662772,1.0,0.980237,0.450867,0.585281,0.76958,0.948617,0.474164,0.605027,0.345062,0.997917,0,0,5,8,1,38,23,56,106,88,123,297,280,0,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,portable-tests,none,maven,maven,no-portable-test-signal,pass,0,32,0,0,0,0,pass,0,15,15,0,0,14,fail,1,0,0,34,5,1,0,0,2,2,1,1,2,15,0,0,17,1.0,32,34,32,0,15,17,0,0,0,0,True,True
20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,happyfish100_fastdfs-client-java,4e7b6b34,main,passed,,,0.833081,0.765375,1.0,0.865672,0.895265,0.812968,0.732601,0.925373,0.909621,0.826196,0.344322,1.0,0,0,2,3,2,1,7,27,9,61,34,88,91,0,passed,,no_difference_detected,retained-ported-tests-pass,,portable-tests,none,maven,maven,no-portable-test-signal,pass,0,16,0,0,0,0,pass,0,17,24,0,0,16,pass,0,0,0,16,3,0,0,3,1,1,0,0,0,1,0,0,1,1.0,16,16,16,0,1,15,12,0,0,0,True,True
20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,happyfish100_fastdfs-client-java,4e7b6b34,v2,passed,,,0.823233,0.741313,1.0,0.852941,0.862629,0.754316,0.765799,0.882353,0.888889,0.77027,0.356877,1.0,0,0,3,5,1,23,6,22,48,48,37,87,86,0,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,portable-tests,none,maven,maven,no-portable-test-signal,pass,0,16,0,0,0,0,pass,0,16,19,0,0,14,fail,1,0,0,18,21,6,0,0,11,11,6,6,2,13,0,0,15,1.0,16,18,16,0,13,3,121,0,0,0,True,True
20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,happyfish100_fastdfs-client-java,4e7b6b34,v3,passed,,,0.741301,0.670939,1.0,0.852941,0.790347,0.525588,0.681319,0.852941,0.833068,0.54755,0.322344,1.0,0,0,4,6,0,46,5,27,68,24,111,91,94,0,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,portable-tests,none,maven,maven,no-portable-test-signal,pass,0,16,0,0,0,0,pass,0,7,12,0,0,6,fail,1,0,0,17,26,5,0,1,11,11,5,5,1,12,0,0,13,1.0,16,17,16,0,12,4,192,0,0,0,True,True
20260506T082105Z__JakeWharton_RxRelay__9540ecc7,JakeWharton_RxRelay,9540ecc7,main,passed,,,0.807585,0.745633,1.0,0.909091,0.444444,0.786408,0.854545,0.969697,0.444444,0.803922,0.509091,1.0,0,0,0,1,1,9,3,24,5,7,14,28,26,0,passed,,no_difference_detected,retained-ported-tests-pass,,portable-tests,selected,gradle-wrapper,gradle,one-or-more-gradle-tasks-passed,pass,0,8,64,0,0,6,pass,0,4,15,0,0,4,pass,0,0,0,15,64,0,0,3,6,6,0,0,7,0,0,0,7,1.0,8,15,8,0,0,8,0,0,0,0,True,True
20260506T082105Z__JakeWharton_RxRelay__9540ecc7,JakeWharton_RxRelay,9540ecc7,v2,passed,,,0.831657,0.770133,1.0,0.909091,0.495575,0.852941,0.864865,0.969697,0.495575,0.871287,0.522523,1.0,0,0,0,1,1,7,6,22,12,12,1,27,26,0,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,portable-tests,selected,gradle-wrapper,gradle,one-or-more-gradle-tasks-passed,pass,0,8,64,0,0,6,pass,0,7,21,0,0,7,fail,1,0,0,8,64,4,0,3,6,6,4,4,0,7,0,0,7,1.0,8,8,8,0,7,1,140,0,0,0,True,True
20260506T082105Z__JakeWharton_RxRelay__9540ecc7,JakeWharton_RxRelay,9540ecc7,v3,passed,,,0.647285,0.665634,1.0,0.571429,0.336449,0.717172,0.701754,0.857143,0.392157,0.751323,0.403509,0.985263,0,0,1,4,1,14,6,21,19,8,10,33,35,0,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,portable-tests,selected,gradle-wrapper,gradle,one-or-more-gradle-tasks-passed,pass,0,8,64,0,0,6,fail,1,9,0,0,0,0,fail,1,0,0,10,64,5,0,3,0,0,0,0,2,3,0,0,5,1.0,8,10,8,0,3,5,42,0,0,0,True,True
20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,amitshekhariitbhu_Android-Debug-Database,bf149df6,main,passed,,,0.691429,0.643582,0.755556,0.733333,0.803797,0.57187,0.658654,0.766667,0.905263,0.772443,0.100962,0.980632,0,11,7,21,2,2,5,10,23,44,21,145,229,0,passed,,inconclusive,baseline-not-comparable,,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,fail,1,10,0,0,0,0,pass,0,23,17,0,0,17,pass,0,0,0,21,10,0,0,0,10,10,0,0,5,5,17,0,27,1.0,10,21,10,0,0,10,0,0,0,0,True,True
20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,amitshekhariitbhu_Android-Debug-Database,bf149df6,v2,passed,,,0.644605,0.620255,0.714286,0.705882,0.708861,0.538217,0.609113,0.773109,0.814286,0.731602,0.095923,0.958778,2,10,7,20,4,14,12,13,40,44,20,146,231,0,failed,write-scope-violation,invalid,write-scope-violation,write-scope-violation,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,fail,1,10,0,0,0,0,pass,0,20,22,0,0,19,fail,1,0,0,0,0,0,0,0,0,24,0,0,5,6,0,0,11,1.0,10,35,10,0,0,10,0,0,0,1,True,True
20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,amitshekhariitbhu_Android-Debug-Database,bf149df6,v3,passed,,,0.627924,0.602721,0.755556,0.715447,0.64127,0.535836,0.567164,0.780488,0.72028,0.69469,0.099502,0.967193,0,11,5,22,4,16,20,22,61,39,19,146,216,0,passed,,inconclusive,baseline-not-comparable,,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,fail,1,10,0,0,0,0,pass,0,10,13,0,0,10,pass,0,0,0,25,18,0,0,5,15,15,0,0,5,5,0,0,10,1.0,10,25,10,0,0,10,0,0,0,0,True,True
20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,amitshekhariitbhu_PRDownloader,611b12c8,main,passed,,,0.819729,0.733142,0.846154,0.891089,0.834746,0.773676,0.774648,0.891089,0.858388,0.815567,0.295775,1.0,0,4,0,11,0,0,7,29,13,30,33,82,118,0,passed,,inconclusive,baseline-not-comparable,,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,fail,1,4,0,0,0,0,pass,0,15,15,0,0,14,pass,0,0,0,24,19,0,0,2,18,18,0,0,5,0,0,0,5,1.0,4,24,4,0,0,4,0,0,0,0,True,True
20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,amitshekhariitbhu_PRDownloader,611b12c8,v2,passed,,,0.814538,0.724126,0.846154,0.895833,0.832962,0.751252,0.769231,0.895833,0.848073,0.774527,0.29304,1.0,0,4,2,8,0,17,6,22,25,36,35,84,109,0,failed,behavioral-difference-evidence,difference_detected,assertion-mismatch-evidence,assertion-failure,portable-tests,none,gradle-wrapper,gradle,no-portable-test-signal,fail,1,4,0,0,0,0,pass,0,16,15,0,0,15,fail,1,0,0,8,4,1,0,0,4,4,1,1,2,2,14,0,18,1.0,4,8,4,0,0,4,0,0,0,0,True,True
